,result
0,154145.77
1,185872.55
2,101866.85
3,91288.195
4,94936.97
5,211063.16
6,286117.9
7,143600.39
8,129367.92
9,288936.22
10,96764.24
11,313853.0
12,175232.03
13,220208.61
14,122628.91
15,142429.23
16,133545.61
17,375436.28
18,111739.54
19,153759.14
20,111327.1
21,141438.81
22,158775.36
23,199262.69
24,90737.016
25,151611.53
26,300362.44
27,171040.77
28,136633.94
29,221237.03
30,229838.2
31,130640.79
32,161003.05
33,101122.4
34,191154.67
35,232028.8
36,187831.08
37,175706.66
38,118429.03
39,246189.19
40,192674.2
41,281272.28
42,131601.69
43,186870.03
44,162245.02
45,153538.36
46,118013.695
47,140785.19
48,251073.89
49,229835.25
50,98390.72
51,252881.42
52,167888.72
53,176292.83
54,145900.83
55,124943.59
56,111933.29
57,189541.47
58,136529.9
59,172921.97
60,216265.72
61,246044.56
62,146243.2
63,143424.9
64,65162.914
65,130321.68
66,262158.62
67,97961.16
68,138482.0
69,129336.93
70,132967.95
71,267246.47
72,151393.69
73,130423.61
74,186176.84
75,136429.11
76,188708.81
77,222596.06
78,198116.78
79,138553.9
80,138657.36
81,154692.67
82,112657.98
83,181578.39
84,163001.64
85,300711.78
86,190837.8
87,229374.23
88,127070.15
89,139887.03
90,189354.22
91,236982.97
92,121079.96
93,142842.55
94,205890.4
95,99724.805
96,375267.38
97,147969.73
98,157066.89
99,201109.9
100,134642.55
101,119650.195
102,168137.52
103,136418.25
104,178635.45
105,176157.5
106,171425.55
107,175274.14
108,146433.98
109,265684.75
110,172855.25
111,126523.39
112,86368.266
113,89230.625
114,54745.95
115,212809.66
116,118483.27
117,125502.58
118,133081.98
119,155723.47
120,318670.66
121,114756.625
122,281024.66
123,176707.64
124,244466.58
125,116116.85
126,112207.55
127,138546.12
128,153113.38
129,327019.03
130,179013.9
131,261081.53
132,138401.6
133,68511.1
134,135981.02
135,270249.88
136,178349.42
137,60634.984
138,257953.44
139,185183.39
140,102534.79
141,146157.47
142,172296.67
143,84199.734
144,328673.4
145,264916.5
146,131250.45
147,196551.8
148,147974.11
149,272451.88
150,151510.28
151,183858.52
152,149862.3
153,222649.44
154,250646.0
155,135961.61
156,127384.625
157,144366.89
158,84686.445
159,133974.58
